"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","sig"
"ARL4D",6.51972846513492e-09,1.22135952660914,0.11,0.054,9.18564543452859e-05,"Upregulated in Activated Stressed NK"
"DNAJC8",7.1223970872131e-09,-0.692727866688009,0.198,0.29,0.000100347452561745,"NS"
"HNRNPR",8.44958648633014e-09,-0.775502106277685,0.184,0.273,0.000119046224005905,"NS"
"VAMP8",8.78535647577178e-09,-0.434144989027186,0.403,0.5,0.000123776887387149,"NS"
"SPCS3",9.60218894158999e-09,-0.746583734811256,0.149,0.237,0.000135285239998061,"NS"
"GABARAP",9.85900325335097e-09,-0.955657884433696,0.156,0.239,0.000138903496836462,"NS"
"ZC3HAV1",1.05040448068671e-08,0.669559201874914,0.342,0.262,0.00014799148728395,"NS"
"TMEM181",1.06915691329935e-08,-1.19297489513042,0.046,0.108,0.000150633517514745,"Upregulated in Mature Cytotoxic NK"
"ACAP1",1.12677852315238e-08,0.525639984425074,0.479,0.388,0.000158751826126939,"NS"
"RAB8A",1.13597843084404e-08,-0.748803816210755,0.149,0.235,0.000160048001121617,"NS"
"DDIT4",1.16923939890486e-08,0.539439236850088,0.666,0.589,0.000164734138911705,"NS"
"FKBP11",1.17599205130313e-08,-0.729167720461535,0.15,0.238,0.000165685520108098,"NS"
"CCT4",1.45286927442338e-08,0.638126555683512,0.297,0.211,0.00020469475207351,"NS"
"KLF10",1.48852252583166e-08,1.13368124611281,0.11,0.054,0.000209717938664423,"Upregulated in Activated Stressed NK"
"TNFSF12",1.52833923127646e-08,-1.30090581653229,0.058,0.121,0.000215327714294541,"Upregulated in Mature Cytotoxic NK"
"STK4",1.54207606234394e-08,-0.456143019174634,0.399,0.495,0.000217263096423637,"NS"
"S100A11",1.55830087540336e-08,-0.337266210103804,0.452,0.545,0.000219549010335579,"NS"
"DDX3X",1.55875004967871e-08,0.526753446968818,0.456,0.378,0.000219612294499234,"NS"
"NUDT14",1.58277210661866e-08,1.19720180936341,0.106,0.052,0.000222996762101503,"Upregulated in Activated Stressed NK"
"SQSTM1",1.76885868252983e-08,0.740770231460554,0.395,0.32,0.000249214499781628,"NS"
"MVD",1.81195313793991e-08,-0.786450100477191,0.096,0.173,0.000255286077604354,"NS"
"SH3BGRL",2.0530079601508e-08,-0.661869616652202,0.258,0.348,0.000289248291505647,"NS"
"ABHD3",2.15003773178799e-08,0.902828487668798,0.15,0.085,0.00030291881603161,"NS"
"DUSP10",2.17829296967376e-08,0.917812210553754,0.148,0.083,0.000306899696497337,"NS"
"PSMB10",2.24370291719298e-08,-0.912684048313717,0.16,0.24,0.000316115304003319,"NS"
"CD48",2.33337347266307e-08,-0.472945053725207,0.461,0.545,0.0003287489885635,"NS"
"DOCK11",2.38685872308981e-08,-1.34103771373204,0.05,0.11,0.000336284525496124,"Upregulated in Mature Cytotoxic NK"
"RUNX3",2.43309364025447e-08,-0.522450419312018,0.365,0.448,0.000342798562975453,"NS"
"AUTS2",2.43700763965481e-08,-0.966049716426222,0.061,0.127,0.000343350006350966,"NS"
"ANXA1",2.60732273369185e-08,-0.112940971268766,0.562,0.684,0.000367345699949845,"NS"
"INSIG1",2.63260789579121e-08,0.81025615963274,0.189,0.117,0.000370908126438023,"NS"
"DEK",2.67558090303994e-08,-0.474641614903009,0.26,0.36,0.000376962593429297,"NS"
"ANXA5",2.72556255264876e-08,0.670293237378248,0.185,0.112,0.000384004508042683,"NS"
"ABT1",3.01408793631915e-08,-0.900441708841698,0.068,0.135,0.000424654849348005,"NS"
"ARF4",3.377686051177e-08,0.614637540853994,0.285,0.2,0.000475882187750328,"NS"
"BCL7C",3.43907021986244e-08,-0.777848308583437,0.085,0.157,0.000484530603276419,"NS"
"AKAP13",3.6086358949016e-08,-0.445778421374613,0.351,0.441,0.000508420711232687,"NS"
"CREM",3.66020585595878e-08,-0.636127875586817,0.377,0.449,0.000515686403046032,"NS"
"SH3BP2",3.66120039978608e-08,-0.701916129472593,0.052,0.114,0.00051582652432586,"NS"
"TFRC",3.66177248136608e-08,1.14536681874124,0.119,0.063,0.000515907124899667,"Upregulated in Activated Stressed NK"
"DDOST",3.90378720267107e-08,-0.711300782840279,0.144,0.227,0.000550004578984328,"NS"
"MSN",4.30728846012283e-08,-0.462087945116666,0.374,0.463,0.000606853871146706,"NS"
"SH3KBP1",4.64740235946552e-08,-0.605340182037997,0.174,0.262,0.000654772518425097,"NS"
"LYAR",4.84343285065652e-08,-0.494746176932675,0.268,0.368,0.000682391254328997,"NS"
"CARD16",4.8516712353318e-08,-0.697363359286515,0.253,0.341,0.000683551960345897,"NS"
"N4BP2L2",4.90607260593095e-08,-0.40212759366975,0.357,0.459,0.000691216569449611,"NS"
"MLLT6",5.59534629087768e-08,-0.71628882857511,0.119,0.197,0.000788328338921756,"NS"
"PKM",5.61811676157177e-08,0.649755312758309,0.333,0.247,0.000791536470537847,"NS"
"ESD",5.67332705295138e-08,0.827498277119805,0.158,0.093,0.00079931504849032,"NS"
"ARPC3",6.09156163136206e-08,-0.279716006348802,0.638,0.703,0.000858240118242601,"NS"
"SRGN",6.50657676922493e-08,0.246231507769354,0.933,0.906,0.0009167116010161,"NS"
"PSMB8",6.58821765144589e-08,-0.502186290730748,0.324,0.414,0.000928213984912212,"NS"
"TAOK3",6.64853287695107e-08,-0.585161072941262,0.181,0.27,0.000936711797033637,"NS"
"SLC2A3",6.70341429111425e-08,0.704889094907325,0.355,0.274,0.000944444039475087,"NS"
"APOL6",6.89713162269308e-08,-0.744961766898537,0.125,0.201,0.000971736874321229,"NS"
"CD164",7.29384116532598e-08,-0.525440905668755,0.307,0.398,0.00102762928178278,"NS"
"PCSK7",7.47115165816429e-08,-0.458702445456281,0.211,0.301,0.00105261055711877,"NS"
"SLC2A4RG",7.60795716566942e-08,-1.04726920432876,0.051,0.11,0.00107188508507117,"Upregulated in Mature Cytotoxic NK"
"RNF166",7.91522334473764e-08,-0.736977596687775,0.18,0.265,0.00111517581704009,"NS"
"IER5L",8.20234526352904e-08,1.30997270349593,0.135,0.078,0.00115562842417861,"Upregulated in Activated Stressed NK"
"AP2S1",8.77394232343188e-08,-0.610056330191357,0.17,0.256,0.00123616073394832,"NS"
"NDUFA12",8.84912747108061e-08,-0.51348308657526,0.23,0.32,0.00124675356940055,"NS"
"MXD1",9.79732867608478e-08,1.13232796420708,0.135,0.077,0.00138034563717358,"Upregulated in Activated Stressed NK"
"COX6C",1.03140821471061e-07,-0.441518248285398,0.487,0.578,0.00145315103370578,"NS"
"USP28",1.03180034492129e-07,-1.09190859326788,0.057,0.116,0.00145370350595961,"Upregulated in Mature Cytotoxic NK"
"LIMS1",1.08841089729142e-07,0.744477944122287,0.147,0.084,0.00153346211319388,"NS"
"CAP1",1.12062831447315e-07,-0.493863767843345,0.374,0.458,0.00157885323226123,"NS"
"PABPN1",1.16940197697766e-07,-0.866138864507476,0.104,0.175,0.00164757044536383,"NS"
"DDAH2",1.22188423410646e-07,0.848125612511385,0.115,0.061,0.00172151269743259,"NS"
"TMEM123",1.22484515709766e-07,0.684837209710293,0.191,0.12,0.00172568434183489,"NS"
"UTRN",1.24835513231506e-07,-0.555843744414195,0.165,0.252,0.00175880754591869,"NS"
"BOD1L1",1.45372359862476e-07,-0.568303426886867,0.114,0.19,0.00204815117810242,"NS"
"PTPRA",1.46592409076716e-07,-0.717060419980686,0.116,0.19,0.00206534045148185,"NS"
"ETS1",1.55581240350733e-07,-0.632271772798673,0.313,0.388,0.00219198409530147,"NS"
"STK38",1.66745286832239e-07,-0.83503442639969,0.075,0.139,0.00234927434617942,"NS"
"EEF1A1",1.77523794536608e-07,0.154048287833556,0.991,0.991,0.00250113274122627,"NS"
"SPCS2",1.78587156935415e-07,-0.50157926712452,0.323,0.412,0.00251611445406307,"NS"
"NFATC2",1.80153298267917e-07,-0.879512733498467,0.07,0.133,0.00253817981929668,"NS"
"EID1",1.83912377691262e-07,-0.590591420932845,0.272,0.359,0.00259114148929219,"NS"
"SSBP4",1.87039398670217e-07,-0.798806074823647,0.143,0.216,0.00263519808786469,"NS"
"MED10",1.88152154380635e-07,-0.602957885088232,0.178,0.26,0.00265087570306877,"NS"
"YWHAZ",1.89146832900929e-07,-0.421984718632024,0.489,0.557,0.00266488972874119,"NS"
"POLR2B",1.90369885869532e-07,-0.757785616276128,0.09,0.158,0.00268212132201583,"NS"
"LGALS1",1.98727831352043e-07,-0.368356168887303,0.571,0.647,0.00279987641591894,"NS"
"PPP1R18",2.08387602657709e-07,-0.557310581018412,0.272,0.358,0.00293597293384447,"NS"
"PPP1CA",2.21100506170313e-07,-0.49243722228987,0.368,0.458,0.00311508503143355,"NS"
"ARIH1",2.25134747185035e-07,0.940472616390971,0.17,0.107,0.00317192345308996,"NS"
"PIM2",2.28586172317352e-07,0.766466945315402,0.153,0.092,0.00322055058177918,"NS"
"DDX17",2.31615119477215e-07,-0.514194867883907,0.275,0.361,0.00326322541831449,"NS"
"TRAF3IP3",2.60527761640451e-07,-0.527546094628339,0.258,0.341,0.00367057563375231,"NS"
"CDKN2D",2.71624918781838e-07,-0.647119135820849,0.114,0.187,0.00382692348071731,"NS"
"PDCD4",2.71906938920865e-07,0.602956808214225,0.312,0.234,0.00383089686245607,"NS"
"ZBTB7A",2.77494283212842e-07,-0.690175451148425,0.119,0.193,0.00390961695618573,"NS"
"RAC2",2.84255950108249e-07,-0.315377079808329,0.583,0.649,0.00400488208107512,"NS"
"NDUFC1",2.93447675252901e-07,-0.997537563753391,0.077,0.138,0.00413438429663812,"NS"
"SLBP",2.96733952334791e-07,0.79556368959012,0.193,0.126,0.00418068465444487,"NS"
"CISD3",3.36062657263108e-07,-0.782231875627367,0.101,0.169,0.00473478677817993,"NS"
"SPAG7",3.51769093229436e-07,-0.736538714043965,0.111,0.182,0.00495607475450953,"NS"
"SFSWAP",3.80936937924555e-07,-1.18538531732157,0.053,0.108,0.00536702051841905,"Upregulated in Mature Cytotoxic NK"
